identifier	cohort	cohort_sort	hormone	hormone_sort	unadjust
female_male_albumin_log	female_male	1	albumin_log	1	0
female_male_unadjust_albumin_log	female_male	1	albumin_log	1	1
female_male_steroid_globulin_log	female_male	1	steroid_globulin_log	2	0
female_male_unadjust_steroid_globulin_log	female_male	1	steroid_globulin_log	2	1
female_male_testosterone_log	female_male	1	testosterone_log	3	0
female_male_unadjust_testosterone_log	female_male	1	testosterone_log	3	1
female_male_testosterone_bioavailable_log	female_male	1	testosterone_bioavailable_log	4	0
female_male_unadjust_testosterone_bioavailable_log	female_male	1	testosterone_bioavailable_log	4	1
female_male_testosterone_free_log	female_male	1	testosterone_free_log	5	0
female_male_unadjust_testosterone_free_log	female_male	1	testosterone_free_log	5	1
female_male_oestradiol_log	female_male	1	oestradiol_log	6	0
female_male_unadjust_oestradiol_log	female_male	1	oestradiol_log	6	1
female_male_oestradiol_bioavailable_log	female_male	1	oestradiol_bioavailable_log	7	0
female_male_unadjust_oestradiol_bioavailable_log	female_male	1	oestradiol_bioavailable_log	7	1
female_male_oestradiol_free_log	female_male	1	oestradiol_free_log	8	0
female_male_unadjust_oestradiol_free_log	female_male	1	oestradiol_free_log	8	1
female_albumin_log	female	2	albumin_log	1	0
female_unadjust_albumin_log	female	2	albumin_log	1	1
female_steroid_globulin_log	female	2	steroid_globulin_log	2	0
female_unadjust_steroid_globulin_log	female	2	steroid_globulin_log	2	1
female_testosterone_log	female	2	testosterone_log	3	0
female_unadjust_testosterone_log	female	2	testosterone_log	3	1
female_testosterone_bioavailable_log	female	2	testosterone_bioavailable_log	4	0
female_unadjust_testosterone_bioavailable_log	female	2	testosterone_bioavailable_log	4	1
female_testosterone_free_log	female	2	testosterone_free_log	5	0
female_unadjust_testosterone_free_log	female	2	testosterone_free_log	5	1
female_oestradiol_log	female	2	oestradiol_log	6	0
female_unadjust_oestradiol_log	female	2	oestradiol_log	6	1
female_oestradiol_bioavailable_log	female	2	oestradiol_bioavailable_log	7	0
female_unadjust_oestradiol_bioavailable_log	female	2	oestradiol_bioavailable_log	7	1
female_oestradiol_free_log	female	2	oestradiol_free_log	8	0
female_unadjust_oestradiol_free_log	female	2	oestradiol_free_log	8	1
female_combination_albumin_log	female_combination	3	albumin_log	1	0
female_combination_unadjust_albumin_log	female_combination	3	albumin_log	1	1
female_combination_steroid_globulin_log	female_combination	3	steroid_globulin_log	2	0
female_combination_unadjust_steroid_globulin_log	female_combination	3	steroid_globulin_log	2	1
female_combination_testosterone_log	female_combination	3	testosterone_log	3	0
female_combination_unadjust_testosterone_log	female_combination	3	testosterone_log	3	1
female_combination_testosterone_bioavailable_log	female_combination	3	testosterone_bioavailable_log	4	0
female_combination_unadjust_testosterone_bioavailable_log	female_combination	3	testosterone_bioavailable_log	4	1
female_combination_testosterone_free_log	female_combination	3	testosterone_free_log	5	0
female_combination_unadjust_testosterone_free_log	female_combination	3	testosterone_free_log	5	1
female_combination_oestradiol_log	female_combination	3	oestradiol_log	6	0
female_combination_unadjust_oestradiol_log	female_combination	3	oestradiol_log	6	1
